locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Anand Nagar,"Rs. 7,735 - 8,628/sq. ft.",-1.03%  ,See Trends,"Rs. 10,566 - 12,486","Rs. 15,300 - 18,360","Rs. 19,890 - 24,310"
Ashok Nagar,"Rs. 8,840 - 10,242/sq. ft.",-,Not Available,-,"Rs. 18,553 - 20,973",-
Balkum,"Rs. 8,755 - 9,988/sq. ft.",-2.24%  ,See Trends,"Rs. 12,928 - 15,415","Rs. 17,850 - 20,825","Rs. 25,517 - 29,345"
Balkum Pada,"Rs. 8,542 - 9,095/sq. ft.",-0.48%  ,See Trends,"Rs. 10,846 - 14,297","Rs. 13,728 - 19,508",-
Bhaskar Colony,"Rs. 13,940 - 15,555/sq. ft.",-,Not Available,-,-,-
Bhayandarpada,"Rs. 7,012 - 7,905/sq. ft.",0%     ,See Trends,-,"Rs. 13,600 - 15,300",-
Brahmand,"Rs. 8,415 - 9,308/sq. ft.",0%     ,See Trends,"Rs. 12,243 - 12,714","Rs. 16,830 - 19,890",-
Budhaji Nagar,"Rs. 7,268 - 8,202/sq. ft.",-3.63%  ,See Trends,-,-,-
Charai,"Rs. 10,158 - 12,155/sq. ft.",4.26%  ,See Trends,"Rs. 13,260 - 14,586",-,-
Chirak Nagar,"Rs. 10,455 - 11,688/sq. ft.",-0.38%  ,See Trends,"Rs. 17,629 - 20,222","Rs. 20,196 - 22,889",-
Damoji Patil Wadi,"Rs. 13,260 - 13,812/sq. ft.",-0.62%  ,See Trends,"Rs. 17,748 - 18,734",-,-
Devdaya Nagar,"Rs. 11,900 - 14,280/sq. ft.",-,Not Available,"Rs. 12,967 - 14,408","Rs. 21,250 - 25,500",-
Dhobi Ali,"Rs. 9,605 - 12,155/sq. ft.",3.63%  ,See Trends,-,-,-
Dhokali,"Rs. 8,968 - 9,988/sq. ft.",0%     ,See Trends,"Rs. 13,311 - 15,283","Rs. 19,125 - 20,655","Rs. 23,375 - 27,625"
Diva Gaon,"Rs. 2,422 - 3,272/sq. ft.",-,Not Available,"Rs. 3,536 - 4,420",-,-
Dokali Pada,"Rs. 8,798 - 9,818/sq. ft.",0.47%  ,See Trends,"Rs. 13,196 - 15,640","Rs. 17,790 - 20,884",-
Dongripada,-,-,Not Available,-,"Rs. 19,910 - 21,570",-
Eden Wood,"Rs. 10,582 - 11,560/sq. ft.",-,Not Available,-,"Rs. 19,614 - 23,536",-
Ganeshwadi,"Rs. 7,905 - 8,585/sq. ft.",-,Not Available,-,-,-
Gawand Baug,"Rs. 9,478 - 10,115/sq. ft.",1.36%  ,See Trends,"Rs. 14,875 - 16,660","Rs. 20,188 - 22,610",-
G B Road,"Rs. 7,522 - 8,670/sq. ft.",-1.6%  ,See Trends,"Rs. 9,996 - 12,852","Rs. 14,858 - 17,986",-
Ghodbunder Road,"Rs. 8,202 - 10,328/sq. ft.",0.47%  ,See Trends,"Rs. 11,495 - 15,494","Rs. 17,298 - 22,015","Rs. 27,272 - 34,387"
Hari Om Nagar,"Rs. 13,260 - 13,812/sq. ft.",-0.62%  ,See Trends,"Rs. 17,748 - 18,734",-,-
Hiranandani Estate,"Rs. 10,710 - 12,750/sq. ft.",0.36%  ,See Trends,"Rs. 16,550 - 18,556","Rs. 22,974 - 26,143","Rs. 35,572 - 39,525"
Hiranandani Meadows,"Rs. 14,492 - 16,575/sq. ft.",-3.75%  ,See Trends,-,"Rs. 24,735 - 28,858","Rs. 39,525 - 43,350"
Jambli Naka,"Rs. 10,200 - 12,112/sq. ft.",-,Not Available,-,-,-
JK Gram,"Rs. 12,070 - 12,410/sq. ft.",-0.34%  ,See Trends,-,-,-
Kailash Nagar,"Rs. 9,095 - 9,818/sq. ft.",2.31%  ,See Trends,-,"Rs. 19,125 - 21,420",-
Kalher,"Rs. 3,230 - 3,740/sq. ft.",-2.44%  ,See Trends,"Rs. 4,462 - 5,355","Rs. 5,018 - 6,273",-
Kalwa,"Rs. 7,608 - 8,755/sq. ft.",-2.02%  ,See Trends,"Rs. 10,752 - 12,219","Rs. 15,011 - 17,263","Rs. 19,125 - 21,038"
Kapurbawadi,"Rs. 9,945 - 11,348/sq. ft.",-2.75%  ,See Trends,"Rs. 14,470 - 16,021",-,"Rs. 26,373 - 30,960"
Kasar Vadavali,"Rs. 7,352 - 8,330/sq. ft.",-0.54%  ,See Trends,"Rs. 10,353 - 11,832","Rs. 14,115 - 16,344","Rs. 19,380 - 22,440"
Kasheli,"Rs. 3,612 - 4,165/sq. ft.",-2.15%  ,See Trends,"Rs. 5,661 - 6,133",-,-
Kavesar,"Rs. 8,372 - 9,520/sq. ft.",1.97%  ,See Trends,"Rs. 12,158 - 13,172","Rs. 17,850 - 20,400","Rs. 27,685 - 32,959"
Kharkar Alley,"Rs. 9,095 - 11,348/sq. ft.",-,Not Available,-,-,-
Khopat,"Rs. 10,880 - 12,665/sq. ft.",-2.56%  ,See Trends,"Rs. 16,048 - 17,552","Rs. 22,872 - 25,085",-
Kisan Nagar,"Rs. 5,015 - 5,822/sq. ft.",2.36%  ,See Trends,"Rs. 8,113 - 8,819",-,-
Kolbad Road,"Rs. 10,625 - 11,645/sq. ft.",1.15%  ,See Trends,-,-,-
Kolshet,"Rs. 9,392 - 10,285/sq. ft.",-0.86%  ,See Trends,-,"Rs. 16,813 - 19,006",-
Kolshet Industrial Area,"Rs. 8,288 - 12,112/sq. ft.",12.67%  ,See Trends,-,-,-
Kolshet Road,"Rs. 9,052 - 10,498/sq. ft.",1.35%  ,See Trends,"Rs. 14,399 - 16,456","Rs. 18,360 - 20,655","Rs. 25,180 - 29,560"
Kopri,"Rs. 9,562 - 11,220/sq. ft.",-0.4%  ,See Trends,"Rs. 13,558 - 14,960","Rs. 22,904 - 26,297",-
Laxmi Nagar,"Rs. 11,220 - 12,410/sq. ft.",-3.17%  ,See Trends,-,"Rs. 23,800 - 26,350",-
Lokmanya Nagar,-,-,Not Available,"Rs. 10,335 - 14,764","Rs. 17,707 - 21,396",-
Lokpuram,-,-,Not Available,"Rs. 14,492 - 16,362",-,-
Lok Upvan,-,-,Not Available,"Rs. 13,607 - 15,484","Rs. 19,380 - 22,610",-
Louis Wadi,"Rs. 10,922 - 12,665/sq. ft.",-2.12%  ,See Trends,"Rs. 15,283 - 17,748","Rs. 22,185 - 25,245","Rs. 33,150 - 41,990"
Majiwada,"Rs. 9,052 - 10,200/sq. ft.",-0.88%  ,See Trends,"Rs. 12,928 - 16,409","Rs. 20,380 - 22,927","Rs. 28,069 - 31,896"
Manisha Nagar,"Rs. 7,140 - 8,500/sq. ft.",-3.74%  ,See Trends,"Rs. 10,752 - 12,155",-,-
Manpada,"Rs. 9,902 - 11,220/sq. ft.",1.22%  ,See Trends,"Rs. 14,662 - 16,129","Rs. 21,349 - 23,812","Rs. 28,458 - 34,387"
Mogharpada,"Rs. 7,182 - 7,480/sq. ft.",-,Not Available,-,-,-
Naupada,"Rs. 12,920 - 14,535/sq. ft.",1.25%  ,See Trends,"Rs. 15,512 - 18,332","Rs. 24,670 - 29,296","Rs. 27,668 - 34,808"
Owale,"Rs. 6,842 - 7,862/sq. ft.",-3.93%  ,See Trends,"Rs. 9,911 - 10,407","Rs. 12,913 - 15,783","Rs. 26,257 - 28,758"
Panch Pakhadi,"Rs. 11,560 - 13,728/sq. ft.",1.03%  ,See Trends,"Rs. 15,895 - 17,298","Rs. 23,434 - 24,997","Rs. 35,177 - 38,582"
Parsik Nagar,"Rs. 7,990 - 8,798/sq. ft.",-0.51%  ,See Trends,"Rs. 11,407 - 12,962","Rs. 15,147 - 17,419","Rs. 19,125 - 21,038"
Patlipada,"Rs. 9,010 - 11,772/sq. ft.",5.7%  ,See Trends,"Rs. 12,622 - 16,362","Rs. 18,006 - 22,703","Rs. 37,641 - 40,236"
Pokharan Road,"Rs. 10,540 - 12,198/sq. ft.",-1.83%  ,See Trends,-,"Rs. 23,256 - 24,031",-
Pokhran-2,"Rs. 10,838 - 12,112/sq. ft.",-0.73%  ,See Trends,"Rs. 13,804 - 15,776","Rs. 22,800 - 26,058","Rs. 32,245 - 38,216"
Rabodi,"Rs. 7,268 - 8,712/sq. ft.",4.97%  ,See Trends,-,-,-
Ram Maruti Road,"Rs. 12,920 - 14,450/sq. ft.",-3.99%  ,See Trends,-,-,-
Sai Nagar,"Rs. 7,395 - 8,500/sq. ft.",-1.61%  ,See Trends,"Rs. 10,378 - 11,322","Rs. 14,399 - 17,999",-
Sainath Nagar,"Rs. 9,690 - 10,668/sq. ft.",0%     ,See Trends,"Rs. 17,738 - 19,655","Rs. 19,659 - 23,871","Rs. 27,214 - 35,496"
Samata Nagar,"Rs. 11,092 - 11,900/sq. ft.",-3.21%  ,See Trends,"Rs. 16,565 - 17,082","Rs. 22,372 - 24,769","Rs. 26,112 - 30,464"
Shivai Nagar,"Rs. 10,625 - 12,750/sq. ft.",9.09%  ,See Trends,"Rs. 13,642 - 14,552","Rs. 21,250 - 25,500",-
Shree Nagar,"Rs. 10,838 - 13,302/sq. ft.",-,Not Available,-,-,-
Teen Haath Naka,"Rs. 11,815 - 15,598/sq. ft.",3.26%  ,See Trends,"Rs. 15,810 - 17,850","Rs. 23,256 - 27,616","Rs. 36,837 - 42,779"
Tembhi Naka,"Rs. 9,435 - 12,155/sq. ft.",-,Not Available,-,-,-
Thane (East),"Rs. 10,625 - 12,495/sq. ft.",-0.37%  ,See Trends,"Rs. 15,178 - 17,626","Rs. 22,481 - 24,031",-
Thane West,"Rs. 8,798 - 10,965/sq. ft.",0.44%  ,See Trends,"Rs. 12,325 - 15,776","Rs. 18,870 - 22,801","Rs. 26,803 - 33,795"
Uthalsar,"Rs. 10,200 - 11,390/sq. ft.",-,Not Available,"Rs. 13,558 - 15,895","Rs. 24,432 - 31,835",-
Vartak Nagar,"Rs. 9,435 - 10,625/sq. ft.",-1.68%  ,See Trends,"Rs. 14,790 - 16,320","Rs. 19,508 - 21,675",-
Vasant Vihar,"Rs. 10,838 - 11,858/sq. ft.",0%     ,See Trends,"Rs. 13,821 - 16,124","Rs. 22,872 - 25,322","Rs. 30,799 - 35,362"
Vijay Nagari,"Rs. 8,202 - 9,222/sq. ft.",1.5%  ,See Trends,"Rs. 12,219 - 13,685","Rs. 19,033 - 20,619","Rs. 26,988 - 28,067"
Vitawa,"Rs. 4,718 - 5,738/sq. ft.",-,Not Available,-,-,-
Vrindavan,"Rs. 9,222 - 11,475/sq. ft.",-,Not Available,-,-,-
Waghbil,"Rs. 8,202 - 9,095/sq. ft.",1.52%  ,See Trends,"Rs. 10,968 - 12,875","Rs. 16,250 - 20,682","Rs. 22,045 - 25,194"
Wagle Estate,"Rs. 11,815 - 13,345/sq. ft.",8.49%  ,See Trends,"Rs. 13,821 - 16,124","Rs. 24,174 - 26,591","Rs. 35,599 - 41,341"
Yashodhan Nagar,-,-,Not Available,"Rs. 9,945 - 11,858",-,-
Mumbai Beyond Thane,,,,,,
Adharwadi,"Rs. 4,972 - 5,610/sq. ft.",2.44%  ,See Trends,"Rs. 6,122 - 7,064","Rs. 12,888 - 13,808","Rs. 15,470 - 16,575"
Ambernath,"Rs. 3,358 - 3,910/sq. ft.",2.41%  ,See Trends,"Rs. 4,189 - 5,760","Rs. 5,746 - 7,182",-
Ambernath East,"Rs. 3,400 - 3,995/sq. ft.",2.35%  ,See Trends,"Rs. 4,250 - 5,312","Rs. 5,766 - 7,929",-
Ambernath West,"Rs. 3,315 - 4,080/sq. ft.",1.2%  ,See Trends,"Rs. 4,359 - 5,448",-,-
Ambivali West,"Rs. 3,740 - 4,845/sq. ft.",0.99%  ,See Trends,-,-,-
Ambivli,"Rs. 3,868 - 4,590/sq. ft.",6.25%  ,See Trends,"Rs. 2,830 - 3,397","Rs. 3,155 - 3,550",-
Anjurdive,"Rs. 6,885 - 7,522/sq. ft.",6.17%  ,See Trends,-,-,-
Aptewadi,"Rs. 3,018 - 3,485/sq. ft.",-,Not Available,-,-,-
Asangaon,"Rs. 2,848 - 3,060/sq. ft.",0%     ,See Trends,-,-,-
Atgaon,"Rs. 3,102 - 3,868/sq. ft.",-7.78%  ,See Trends,-,-,-
Azde Gaon,"Rs. 3,740 - 4,718/sq. ft.",-5.88%  ,See Trends,-,-,-
Badlapur,"Rs. 3,018 - 3,485/sq. ft.",0%     ,See Trends,"Rs. 3,570 - 4,080","Rs. 5,206 - 5,950",-
Badlapur (East),"Rs. 3,018 - 3,400/sq. ft.",-1.32%  ,See Trends,"Rs. 3,060 - 4,080","Rs. 4,590 - 6,120",-
Badlapur (West),"Rs. 3,018 - 3,400/sq. ft.",-1.3%  ,See Trends,"Rs. 3,588 - 4,100","Rs. 4,938 - 5,644",-
Balaji Nagar,"Rs. 6,248 - 6,842/sq. ft.",0%     ,See Trends,-,-,-
Belavali,"Rs. 3,018 - 3,485/sq. ft.",2.63%  ,See Trends,"Rs. 3,748 - 5,355",-,-
Bhadra Nagar,"Rs. 7,480 - 8,288/sq. ft.",-6.12%  ,See Trends,-,-,-
Bhivpuri,"Rs. 2,125 - 2,550/sq. ft.",9.8%  ,See Trends,-,-,-
Bhiwandi,"Rs. 3,698 - 4,675/sq. ft.",-2.02%  ,See Trends,"Rs. 4,692 - 6,569","Rs. 7,327 - 8,060",-
Chanakya Nagar,"Rs. 4,930 - 5,525/sq. ft.",-3.88%  ,See Trends,-,"Rs. 8,565 - 9,343",-
Chikan Ghar,"Rs. 6,035 - 6,800/sq. ft.",-1.37%  ,See Trends,"Rs. 8,742 - 10,285",-,-
Chikholi,"Rs. 3,145 - 3,740/sq. ft.",1.3%  ,See Trends,-,-,-
Dahivali,"Rs. 2,678 - 3,145/sq. ft.",-,Not Available,-,-,-
Dahiwali Tarf Waredi,"Rs. 2,848 - 4,165/sq. ft.",-,Not Available,-,-,-
Dawadi Gaon,"Rs. 4,038 - 4,632/sq. ft.",0.97%  ,See Trends,-,-,-
Desale Pada,"Rs. 4,038 - 4,972/sq. ft.",-2.8%  ,See Trends,"Rs. 4,413 - 5,216",-,-
Devicha Pada,"Rs. 5,355 - 6,290/sq. ft.",-1.46%  ,See Trends,-,-,-
Dombivli (East),"Rs. 5,015 - 5,908/sq. ft.",0%     ,See Trends,"Rs. 6,028 - 8,038","Rs. 8,013 - 10,927","Rs. 10,285 - 13,090"
Dombivli (West),"Rs. 5,228 - 6,205/sq. ft.",0%     ,See Trends,"Rs. 7,166 - 8,121",-,-
Gandhar Nagar,"Rs. 6,205 - 7,098/sq. ft.",1.96%  ,See Trends,"Rs. 7,650 - 8,160","Rs. 11,686 - 14,190",-
Gandhi Nagar,"Rs. 5,652 - 6,332/sq. ft.",-,Not Available,-,-,-
Ganesh Nagar,"Rs. 5,992 - 6,418/sq. ft.",1.35%  ,See Trends,"Rs. 5,814 - 7,268",-,-
Gauripada,"Rs. 5,228 - 5,780/sq. ft.",0.78%  ,See Trends,-,-,-
Gograswadi,"Rs. 5,398 - 6,588/sq. ft.",-,Not Available,-,-,-
Hanuman Nagar,"Rs. 4,080 - 4,845/sq. ft.",-,Not Available,-,-,-
Hendre Pada,"Rs. 3,358 - 3,612/sq. ft.",-2.41%  ,See Trends,"Rs. 3,510 - 4,012","Rs. 6,640 - 7,378",-
Jadhav Colony,"Rs. 2,975 - 3,485/sq. ft.",1.37%  ,See Trends,-,-,-
Joveli Gaon,"Rs. 2,890 - 3,272/sq. ft.",1.41%  ,See Trends,-,-,-
Kailash Colony,"Rs. 3,188 - 3,952/sq. ft.",-,Not Available,-,-,-
Kalu Nagar,"Rs. 5,610 - 6,842/sq. ft.",-,Not Available,-,-,-
Kalwa,"Rs. 7,012 - 8,500/sq. ft.",0%     ,See Trends,"Rs. 9,286 - 11,241","Rs. 15,895 - 18,279",-
Kalyan (East),"Rs. 4,122 - 5,398/sq. ft.",-1.71%  ,See Trends,"Rs. 5,330 - 6,783","Rs. 9,792 - 11,424",-
Kalyan (West),"Rs. 5,355 - 6,205/sq. ft.",-1.46%  ,See Trends,"Rs. 7,021 - 8,526","Rs. 10,763 - 13,246","Rs. 14,763 - 18,170"
Kamlakar Nagar,"Rs. 3,230 - 3,570/sq. ft.",-,Not Available,-,-,-
Karjat,"Rs. 2,762 - 3,272/sq. ft.",0%     ,See Trends,"Rs. 3,631 - 4,085",-,-
Katemanivali,"Rs. 4,038 - 5,100/sq. ft.",-5.41%  ,See Trends,-,-,-
Katrap,"Rs. 3,188 - 3,698/sq. ft.",-4.76%  ,See Trends,"Rs. 3,147 - 4,720","Rs. 5,355 - 6,120",-
Khadakpada,"Rs. 5,525 - 6,418/sq. ft.",-1.42%  ,See Trends,"Rs. 7,021 - 8,024","Rs. 11,900 - 14,450","Rs. 16,660 - 17,850"
Kharegaon,"Rs. 5,992 - 7,480/sq. ft.",-0.64%  ,See Trends,"Rs. 9,775 - 11,241","Rs. 13,728 - 15,172",-
Kharvai,"Rs. 3,060 - 3,315/sq. ft.",-2.6%  ,See Trends,"Rs. 2,851 - 3,801",-,-
Khatiwali,"Rs. 2,720 - 3,528/sq. ft.",2.99%  ,See Trends,-,-,-
Khoni,"Rs. 6,502 - 7,650/sq. ft.",-,Not Available,-,-,-
Khopoli,"Rs. 3,230 - 3,612/sq. ft.",-1.2%  ,See Trends,"Rs. 4,786 - 5,264","Rs. 7,751 - 9,160",-
Khuntavali,"Rs. 3,272 - 4,038/sq. ft.",6.25%  ,See Trends,-,-,-
Kongaon,"Rs. 3,272 - 4,250/sq. ft.",-,Not Available,-,-,-
Kopargaon,"Rs. 5,398 - 6,460/sq. ft.",-,Not Available,-,-,-
Kulgaon,"Rs. 3,188 - 3,612/sq. ft.",-4.82%  ,See Trends,-,-,-
Kumbharkhan Pada,"Rs. 5,525 - 6,375/sq. ft.",-,Not Available,-,-,-
Maharashtra Nagar,"Rs. 5,355 - 6,588/sq. ft.",-,Not Available,-,-,-
Manda,"Rs. 3,442 - 4,080/sq. ft.",-3.16%  ,See Trends,-,-,-
Manjarli,"Rs. 3,060 - 3,740/sq. ft.",-5.95%  ,See Trends,"Rs. 3,737 - 4,270","Rs. 5,426 - 6,105",-
M I D C,"Rs. 5,270 - 6,332/sq. ft.",-,Not Available,-,-,-
Morivali,"Rs. 3,528 - 4,080/sq. ft.",3.45%  ,See Trends,-,-,-
Mumbra,"Rs. 2,805 - 4,038/sq. ft.",-1.25%  ,See Trends,-,-,-
Nandivali Gaon,"Rs. 3,188 - 3,698/sq. ft.",-,Not Available,-,-,-
Nandivali Panchanand,"Rs. 3,698 - 4,845/sq. ft.",-7%  ,See Trends,"Rs. 5,208 - 6,155",-,-
Nandivli,"Rs. 4,420 - 5,398/sq. ft.",-5%  ,See Trends,-,-,-
Navare Nagar,"Rs. 3,570 - 3,910/sq. ft.",-,Not Available,-,-,-
Neral,"Rs. 2,720 - 2,975/sq. ft.",-5.63%  ,See Trends,"Rs. 3,516 - 3,955",-,-
Nilje Gaon,"Rs. 4,845 - 5,398/sq. ft.",-1.63%  ,See Trends,"Rs. 7,472 - 8,468","Rs. 9,116 - 10,519","Rs. 11,426 - 13,184"
P And T Colony,"Rs. 4,802 - 6,205/sq. ft.",0%     ,See Trends,-,-,-
Pendse Nagar,"Rs. 5,568 - 6,842/sq. ft.",-,Not Available,-,-,-
Pisavli,"Rs. 3,442 - 4,038/sq. ft.",8.43%  ,See Trends,-,-,-
Radha Nagar,"Rs. 5,652 - 6,502/sq. ft.",-1.44%  ,See Trends,"Rs. 7,268 - 8,721",-,-
Rambaug,"Rs. 6,332 - 7,608/sq. ft.",10.67%  ,See Trends,"Rs. 7,012 - 8,415",-,-
Rameshwadi,"Rs. 3,060 - 3,825/sq. ft.",-6.9%  ,See Trends,-,-,-
Ranjnoli,"Rs. 4,972 - 5,482/sq. ft.",3.36%  ,See Trends,-,-,-
Sagaon,"Rs. 3,952 - 5,015/sq. ft.",-1.87%  ,See Trends,-,-,-
Sagarli,"Rs. 4,080 - 5,185/sq. ft.",5.71%  ,See Trends,"Rs. 3,825 - 4,590",-,-
Sahyadri Nagar,"Rs. 2,890 - 3,528/sq. ft.",5.8%  ,See Trends,-,-,-
Sangeeta Wadi,"Rs. 5,908 - 6,970/sq. ft.",-,Not Available,-,-,-
Shahad,"Rs. 4,420 - 6,715/sq. ft.",-3.52%  ,See Trends,-,-,-
Shahapur,"Rs. 2,678 - 3,272/sq. ft.",1.52%  ,See Trends,-,-,-
Shaninagar,"Rs. 3,018 - 3,358/sq. ft.",0%     ,See Trends,-,-,-
Shastri Nagar,"Rs. 5,950 - 6,545/sq. ft.",0%     ,See Trends,"Rs. 6,707 - 8,255",-,-
Shirgaon,"Rs. 3,060 - 3,570/sq. ft.",0%     ,See Trends,"Rs. 3,009 - 3,510","Rs. 5,040 - 5,760",-
Sonar Pada,"Rs. 3,910 - 4,802/sq. ft.",-2.8%  ,See Trends,-,-,-
Sonivali,"Rs. 3,442 - 3,825/sq. ft.",-2.3%  ,See Trends,"Rs. 3,302 - 3,774",-,-
Sunil Nagar,"Rs. 6,248 - 6,588/sq. ft.",-,Not Available,"Rs. 7,650 - 8,160",-,-
Thakurli,"Rs. 5,908 - 6,290/sq. ft.",0%     ,See Trends,"Rs. 7,521 - 8,595","Rs. 10,912 - 12,471",-
Thakurwadi,"Rs. 5,398 - 6,248/sq. ft.",-,Not Available,-,-,-
Themghar,"Rs. 3,910 - 5,312/sq. ft.",13%  ,See Trends,-,-,-
Tilak Nagar,-,-,Not Available,"Rs. 7,326 - 7,757",-,-
Tisgao Naka,"Rs. 4,335 - 5,568/sq. ft.",6.31%  ,See Trends,-,-,-
Titwala,"Rs. 3,485 - 4,208/sq. ft.",4.6%  ,See Trends,"Rs. 4,475 - 4,972","Rs. 6,474 - 8,092",-
Ulhasnagar,"Rs. 3,230 - 4,462/sq. ft.",-1.09%  ,See Trends,-,-,-
Usarghar Gaon,-,-,Not Available,-,"Rs. 6,647 - 10,635",-
Valivali Gaon,"Rs. 2,932 - 3,315/sq. ft.",2.82%  ,See Trends,-,-,-
Vangani,"Rs. 2,508 - 3,102/sq. ft.",3.23%  ,See Trends,"Rs. 2,514 - 3,352",-,-
Vasind,"Rs. 2,508 - 2,848/sq. ft.",4.92%  ,See Trends,"Rs. 2,535 - 3,380",-,-
Vishnunagar,"Rs. 6,205 - 7,438/sq. ft.",-7.1%  ,See Trends,"Rs. 7,650 - 9,180",-,-
Wayale Nagar,"Rs. 6,248 - 7,182/sq. ft.",1.34%  ,See Trends,"Rs. 7,459 - 8,453",-,-
Wayle Nagar,"Rs. 6,290 - 6,970/sq. ft.",1.28%  ,See Trends,"Rs. 7,568 - 8,650","Rs. 13,355 - 15,025",-
Yogidham,"Rs. 5,738 - 6,502/sq. ft.",2.14%  ,See Trends,"Rs. 8,024 - 9,027","Rs. 11,156 - 12,644",-
Mira Road And Beyond,,,,,,
Agashi,"Rs. 4,122 - 4,462/sq. ft.",7.29%  ,See Trends,-,-,-
Ambawadi,"Rs. 3,910 - 4,718/sq. ft.",1.01%  ,See Trends,-,-,-
Bevarly Park,"Rs. 7,778 - 8,670/sq. ft.",1.58%  ,See Trends,"Rs. 10,407 - 11,893","Rs. 14,083 - 17,048",-
Bhabola,"Rs. 5,610 - 6,418/sq. ft.",-2.11%  ,See Trends,-,-,-
Bhayander (East),"Rs. 7,268 - 8,245/sq. ft.",-3.7%  ,See Trends,"Rs. 9,873 - 11,160","Rs. 13,600 - 16,320",-
Bhayander (West),"Rs. 6,800 - 8,628/sq. ft.",0%     ,See Trends,"Rs. 8,479 - 11,305",-,-
Boisar,"Rs. 2,805 - 3,570/sq. ft.",8.45%  ,See Trends,"Rs. 3,565 - 4,357","Rs. 4,590 - 5,738",-
Bolinj,"Rs. 4,122 - 4,888/sq. ft.",-3.74%  ,See Trends,"Rs. 5,579 - 6,509",-,-
Chakradhar Nagar,"Rs. 4,038 - 4,802/sq. ft.",0%     ,See Trends,-,-,-
Chandansar,"Rs. 3,570 - 4,122/sq. ft.",-,Not Available,-,-,-
Chandan Shanti,"Rs. 8,245 - 9,265/sq. ft.",2.96%  ,See Trends,"Rs. 11,407 - 12,962","Rs. 14,603 - 17,524",-
Chikhal Dongari,"Rs. 4,250 - 4,548/sq. ft.",-8.11%  ,See Trends,"Rs. 5,152 - 5,620","Rs. 6,706 - 7,377",-
Dongarpada,"Rs. 3,868 - 4,378/sq. ft.",1.05%  ,See Trends,-,-,-
Fatherwadi,"Rs. 4,080 - 5,312/sq. ft.",-,Not Available,-,-,-
Geeta Nagar,"Rs. 7,225 - 8,202/sq. ft.",0.56%  ,See Trends,"Rs. 9,350 - 11,050",-,-
Ghodev,"Rs. 7,098 - 8,372/sq. ft.",-2.72%  ,See Trends,-,-,-
Gokul Township,"Rs. 4,548 - 5,100/sq. ft.",-5.13%  ,See Trends,"Rs. 5,324 - 6,212",-,-
Golani Naka,"Rs. 4,802 - 5,312/sq. ft.",-,Not Available,-,-,-
Hatkesh Udhog Nagar,"Rs. 7,225 - 7,990/sq. ft.",-2.19%  ,See Trends,"Rs. 10,285 - 12,155","Rs. 14,050 - 16,269",-
Indralok Phase 2,"Rs. 7,650 - 8,840/sq. ft.",-,Not Available,-,-,-
Indralok Phase 3,"Rs. 7,905 - 8,882/sq. ft.",3.13%  ,See Trends,-,-,-
