locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Indralok Phase 4,"Rs. 7,990 - 8,288/sq. ft.",-,Not Available,-,-,-
Juchandra,"Rs. 3,995 - 4,590/sq. ft.",1.98%  ,See Trends,"Rs. 4,675 - 5,100",-,-
Kanakia Park,"Rs. 7,480 - 8,372/sq. ft.",6.18%  ,See Trends,"Rs. 10,752 - 11,688","Rs. 14,297 - 16,442",-
Kashigaon,"Rs. 7,352 - 8,798/sq. ft.",-,Not Available,-,-,-
Kashimira,"Rs. 6,928 - 8,542/sq. ft.",3.41%  ,See Trends,"Rs. 11,954 - 13,947","Rs. 14,244 - 15,601",-
Lakshmiben Chedda Nagar,"Rs. 4,420 - 5,142/sq. ft.",0.9%  ,See Trends,-,-,-
Mahajan Wadi,"Rs. 7,692 - 10,498/sq. ft.",0.45%  ,See Trends,-,"Rs. 16,456 - 20,196",-
Manickpur,"Rs. 5,312 - 6,078/sq. ft.",-,Not Available,-,-,-
Medetiya Nagar,"Rs. 7,650 - 8,245/sq. ft.",0%     ,See Trends,-,-,-
Mira Bhayandar,"Rs. 7,778 - 8,925/sq. ft.",2.59%  ,See Trends,"Rs. 10,948 - 12,376","Rs. 15,190 - 16,637","Rs. 15,827 - 18,201"
Miragaon,"Rs. 7,438 - 7,820/sq. ft.",1.68%  ,See Trends,-,-,-
Mira Road,"Rs. 7,735 - 8,628/sq. ft.",-0.52%  ,See Trends,"Rs. 10,397 - 11,815","Rs. 14,739 - 17,687","Rs. 19,653 - 21,525"
Mira Road East,"Rs. 7,735 - 8,585/sq. ft.",-1.04%  ,See Trends,"Rs. 10,528 - 11,964","Rs. 14,858 - 17,830","Rs. 20,081 - 21,994"
Morya Nagar,"Rs. 3,825 - 4,165/sq. ft.",0%     ,See Trends,"Rs. 4,797 - 5,233",-,-
Naigaon (East),"Rs. 4,505 - 5,228/sq. ft.",5.45%  ,See Trends,"Rs. 4,570 - 5,331","Rs. 6,162 - 7,395",-
Naigaon (West),"Rs. 3,825 - 4,250/sq. ft.",0%     ,See Trends,"Rs. 4,797 - 5,233",-,-
Nalasopara (West),"Rs. 3,825 - 4,292/sq. ft.",-2.08%  ,See Trends,"Rs. 4,675 - 5,100","Rs. 5,692 - 7,589",-
Nalasopara East,"Rs. 3,910 - 4,632/sq. ft.",2.06%  ,See Trends,"Rs. 4,712 - 5,569",-,-
Nallasopara,"Rs. 3,825 - 4,420/sq. ft.",0%     ,See Trends,"Rs. 4,675 - 5,100","Rs. 6,452 - 8,387",-
Naringi,"Rs. 3,102 - 4,122/sq. ft.",-,Not Available,-,-,-
Navghar Gaon,"Rs. 7,055 - 7,565/sq. ft.",0%     ,See Trends,-,-,-
Navghar Naka,"Rs. 6,588 - 7,862/sq. ft.",-,Not Available,-,-,-
Naya Nagar,"Rs. 7,310 - 8,288/sq. ft.",-7.07%  ,See Trends,"Rs. 11,220 - 13,558",-,-
Nilemore,"Rs. 3,825 - 4,250/sq. ft.",-2.06%  ,See Trends,"Rs. 4,610 - 5,448",-,-
Poonam Gardens,"Rs. 8,585 - 9,562/sq. ft.",0.94%  ,See Trends,"Rs. 12,431 - 12,928","Rs. 17,400 - 18,156",-
Poonam Sagar Complex,"Rs. 9,392 - 10,072/sq. ft.",2.22%  ,See Trends,"Rs. 10,970 - 11,783","Rs. 15,198 - 16,464",-
Pragati Nagar,"Rs. 4,930 - 5,482/sq. ft.",-0.81%  ,See Trends,-,-,-
Ramdev Park,"Rs. 7,608 - 8,288/sq. ft.",-1.6%  ,See Trends,"Rs. 9,464 - 11,954","Rs. 11,888 - 15,190",-
Sector-9 Shanti Nagar,"Rs. 7,395 - 8,585/sq. ft.",-,Not Available,-,-,-
Shanti Nagar,"Rs. 7,948 - 8,925/sq. ft.",-3.9%  ,See Trends,"Rs. 8,119 - 9,134",-,-
Shanti Park,"Rs. 8,458 - 9,775/sq. ft.",6.86%  ,See Trends,"Rs. 10,817 - 12,878",-,-
Sheetal Nagar,"Rs. 7,522 - 8,968/sq. ft.",0%     ,See Trends,"Rs. 10,282 - 11,138","Rs. 13,464 - 14,688",-
Shrishti,-,-,Not Available,"Rs. 10,625 - 11,050","Rs. 17,478 - 18,998",-
Sriprastha,"Rs. 3,868 - 4,802/sq. ft.",-6.36%  ,See Trends,-,-,-
Suyog Nagar,"Rs. 6,035 - 6,502/sq. ft.",-,Not Available,-,-,-
Tirupati Nagar,"Rs. 5,058 - 5,822/sq. ft.",2.44%  ,See Trends,-,-,-
Umelman,"Rs. 5,610 - 6,418/sq. ft.",0%     ,See Trends,-,-,-
Vasai,"Rs. 4,972 - 5,695/sq. ft.",2.48%  ,See Trends,"Rs. 6,545 - 7,948","Rs. 10,200 - 11,560",-
Vasai East,"Rs. 4,888 - 5,355/sq. ft.",3.45%  ,See Trends,"Rs. 6,545 - 7,012","Rs. 10,200 - 10,880",-
Vasai West,"Rs. 5,652 - 6,588/sq. ft.",-0.7%  ,See Trends,"Rs. 7,194 - 8,543","Rs. 10,838 - 13,728","Rs. 10,208 - 16,334"
Vasant Nagari,"Rs. 4,760 - 5,440/sq. ft.",0.84%  ,See Trends,-,-,-
Vijay Park,"Rs. 8,415 - 8,925/sq. ft.",0%     ,See Trends,"Rs. 9,724 - 11,934",-,-
Vinay Nagar,"Rs. 7,480 - 8,288/sq. ft.",-2.13%  ,See Trends,"Rs. 11,144 - 13,082","Rs. 16,031 - 19,516",-
Virar,"Rs. 4,335 - 4,930/sq. ft.",0.93%  ,See Trends,"Rs. 5,105 - 6,033","Rs. 6,672 - 7,340","Rs. 7,459 - 9,116"
Virar East,"Rs. 3,655 - 4,462/sq. ft.",0%     ,See Trends,"Rs. 3,816 - 4,961",-,-
Virar West,"Rs. 4,378 - 4,972/sq. ft.",0.93%  ,See Trends,"Rs. 5,105 - 6,033","Rs. 6,672 - 7,340","Rs. 7,459 - 9,116"
Virat Nagar,"Rs. 5,058 - 5,865/sq. ft.",6.61%  ,See Trends,-,-,-
Y K Nagar,"Rs. 5,015 - 5,482/sq. ft.",0%     ,See Trends,"Rs. 6,188 - 7,140","Rs. 7,863 - 9,293",-
Mumbai Andheri-Dahisar,,,,,,
4 Bunglows,"Rs. 21,548 - 25,628/sq. ft.",4.59%  ,See Trends,"Rs. 27,582 - 32,258","Rs. 49,300 - 56,100",-
Aarey Milk Colony,"Rs. 7,182 - 8,118/sq. ft.",2.29%  ,See Trends,"Rs. 16,034 - 18,261","Rs. 19,671 - 24,419","Rs. 24,868 - 29,012"
Ajit Nagar,-,-,Not Available,"Rs. 22,984 - 27,846","Rs. 29,580 - 38,824",-
Akurli Nagar,"Rs. 18,232 - 18,658/sq. ft.",-2.04%  ,See Trends,-,"Rs. 32,487 - 35,819",-
Alika Nagar,"Rs. 14,408 - 15,980/sq. ft.",6.57%  ,See Trends,"Rs. 13,940 - 15,300","Rs. 26,982 - 29,594","Rs. 29,631 - 31,748"
Amboli,"Rs. 16,872 - 20,358/sq. ft.",-8.09%  ,See Trends,"Rs. 21,420 - 25,245","Rs. 38,378 - 46,053","Rs. 53,137 - 60,068"
Andheri (East),"Rs. 15,385 - 18,232/sq. ft.",0.77%  ,See Trends,"Rs. 24,310 - 28,050","Rs. 36,914 - 42,412","Rs. 51,245 - 58,718"
Andheri (West),"Rs. 20,230 - 24,990/sq. ft.",1.53%  ,See Trends,"Rs. 27,582 - 33,192","Rs. 44,132 - 52,156","Rs. 67,830 - 89,250"
Andheri MIDC,"Rs. 14,748 - 17,128/sq. ft.",1.12%  ,See Trends,"Rs. 13,568 - 17,697","Rs. 37,952 - 40,989",-
Aram Nagar,"Rs. 25,032 - 29,070/sq. ft.",-,Not Available,-,"Rs. 47,287 - 52,714",-
Asha Nagar,"Rs. 15,088 - 16,702/sq. ft.",-3.14%  ,See Trends,"Rs. 17,425 - 19,550","Rs. 26,653 - 30,354",-
Ashok Nagar Kandivali,"Rs. 16,320 - 18,955/sq. ft.",4.64%  ,See Trends,"Rs. 15,895 - 17,765",-,-
Azad Nagar,"Rs. 17,000 - 19,762/sq. ft.",3.57%  ,See Trends,"Rs. 25,245 - 29,452","Rs. 39,448 - 44,863","Rs. 51,935 - 60,775"
Babhai,"Rs. 15,682 - 17,892/sq. ft.",-2.93%  ,See Trends,"Rs. 15,002 - 17,840",-,-
Bander Pakhadi,"Rs. 13,218 - 15,342/sq. ft.",-,Not Available,-,-,-
Bangur Nagar,"Rs. 16,575 - 20,442/sq. ft.",5.12%  ,See Trends,"Rs. 19,635 - 22,440","Rs. 30,039 - 38,734",-
Best Nagar,"Rs. 15,088 - 17,722/sq. ft.",5.57%  ,See Trends,"Rs. 19,625 - 21,134",-,-
Bhagat Colony,"Rs. 14,705 - 17,000/sq. ft.",-0.83%  ,See Trends,-,-,-
Borivali (East),"Rs. 15,172 - 17,382/sq. ft.",0.79%  ,See Trends,"Rs. 15,428 - 19,168","Rs. 26,010 - 30,600","Rs. 39,046 - 46,145"
Borivali (West),"Rs. 15,852 - 18,232/sq. ft.",0%     ,See Trends,"Rs. 16,150 - 18,700","Rs. 24,157 - 28,298","Rs. 32,640 - 40,800"
Chakala,"Rs. 18,020 - 20,910/sq. ft.",4.43%  ,See Trends,"Rs. 18,576 - 22,367","Rs. 38,270 - 47,838","Rs. 59,979 - 67,803"
Charkop,"Rs. 12,325 - 14,068/sq. ft.",4.75%  ,See Trends,"Rs. 15,895 - 17,765","Rs. 21,675 - 24,565","Rs. 27,081 - 32,096"
Chikuwadi,"Rs. 14,960 - 17,340/sq. ft.",-0.52%  ,See Trends,"Rs. 15,116 - 16,667","Rs. 26,222 - 29,583",-
Chincholi Bunder,"Rs. 14,535 - 16,108/sq. ft.",2.29%  ,See Trends,"Rs. 22,440 - 24,310","Rs. 31,104 - 36,891","Rs. 41,990 - 51,935"
Chincholi Phatak,-,-,Not Available,-,"Rs. 26,520 - 31,960",-
Churi Wadi,-,-,Not Available,-,"Rs. 39,750 - 46,516",-
Dahanukar Wadi,"Rs. 14,620 - 15,852/sq. ft.",-7.29%  ,See Trends,-,"Rs. 26,625 - 31,821",-
Dahisar,"Rs. 10,965 - 13,430/sq. ft.",1.42%  ,See Trends,"Rs. 13,939 - 15,288","Rs. 18,337 - 21,733","Rs. 29,155 - 34,361"
Dahisar (East),"Rs. 10,540 - 12,750/sq. ft.",0.37%  ,See Trends,"Rs. 13,040 - 14,838","Rs. 17,085 - 19,135","Rs. 29,155 - 29,155"
Dahisar (West),"Rs. 13,898 - 15,895/sq. ft.",2.92%  ,See Trends,"Rs. 14,866 - 16,218","Rs. 20,816 - 22,831","Rs. 32,454 - 35,404"
Dattaguru Nagar,"Rs. 18,360 - 20,272/sq. ft.",-,Not Available,-,"Rs. 41,813 - 48,246",-
Dattapada,"Rs. 16,872 - 19,422/sq. ft.",-1.17%  ,See Trends,-,"Rs. 25,288 - 29,622",-
Daulat Nagar,"Rs. 14,790 - 15,938/sq. ft.",0.28%  ,See Trends,-,-,-
Devipada,"Rs. 13,558 - 14,875/sq. ft.",0%     ,See Trends,-,"Rs. 30,302 - 35,190","Rs. 35,572 - 45,900"
Dindoshi,"Rs. 13,940 - 16,320/sq. ft.",-4.59%  ,See Trends,"Rs. 21,583 - 26,275","Rs. 39,335 - 41,900","Rs. 42,281 - 51,182"
DN Nagar,"Rs. 20,102 - 22,142/sq. ft.",5.34%  ,See Trends,"Rs. 22,100 - 26,775","Rs. 38,250 - 42,075","Rs. 66,555 - 80,325"
Dominic Colony,"Rs. 17,128 - 19,380/sq. ft.",-,Not Available,-,-,-
Eksar,"Rs. 16,065 - 18,530/sq. ft.",6.58%  ,See Trends,"Rs. 16,830 - 18,700","Rs. 22,032 - 26,163","Rs. 38,964 - 41,886"
Ekta Nagar,"Rs. 10,455 - 11,432/sq. ft.",-4.81%  ,See Trends,"Rs. 11,152 - 12,198",-,-
Evershine Nagar,"Rs. 14,408 - 16,490/sq. ft.",1.15%  ,See Trends,"Rs. 18,924 - 20,645","Rs. 29,073 - 32,800","Rs. 34,709 - 44,917"
Film City Road,"Rs. 13,600 - 15,428/sq. ft.",2.11%  ,See Trends,"Rs. 21,505 - 25,245","Rs. 34,000 - 37,400","Rs. 46,750 - 56,100"
Gilbert Hill,"Rs. 14,110 - 16,108/sq. ft.",-,Not Available,-,"Rs. 35,198 - 40,109",-
Gokuldham,"Rs. 13,600 - 15,938/sq. ft.",-1.99%  ,See Trends,"Rs. 21,038 - 23,842","Rs. 31,977 - 37,026","Rs. 51,518 - 65,076"
Gokuldham Colony,"Rs. 15,640 - 18,828/sq. ft.",-,Not Available,-,"Rs. 37,537 - 41,029",-
Gokul Heven,-,-,Not Available,"Rs. 17,986 - 19,335",-,-
Gorai,"Rs. 13,472 - 15,428/sq. ft.",2.37%  ,See Trends,-,-,-
Gorai 2,"Rs. 12,962 - 14,960/sq. ft.",0.94%  ,See Trends,-,-,-
Goregaon (East),"Rs. 14,662 - 18,062/sq. ft.",3.24%  ,See Trends,"Rs. 19,737 - 23,409","Rs. 32,300 - 37,952","Rs. 65,280 - 78,880"
Goregaon (West),"Rs. 15,045 - 17,808/sq. ft.",0.26%  ,See Trends,"Rs. 20,570 - 24,310","Rs. 33,735 - 39,102","Rs. 48,620 - 57,460"
Govind Nagar,"Rs. 14,790 - 17,000/sq. ft.",-,Not Available,-,-,-
Gundavali Gaothan,"Rs. 15,045 - 17,170/sq. ft.",2.22%  ,See Trends,-,-,-
Hanuman Nagar,"Rs. 12,368 - 14,748/sq. ft.",-,Not Available,-,-,-
Hemu Colony,"Rs. 14,408 - 15,428/sq. ft.",-,Not Available,-,-,-
Huzefa Nagar,"Rs. 15,172 - 17,680/sq. ft.",11.21%  ,See Trends,-,"Rs. 23,842 - 26,010",-
I C Colony,"Rs. 15,385 - 17,000/sq. ft.",2.93%  ,See Trends,"Rs. 13,872 - 16,040","Rs. 22,398 - 26,010","Rs. 28,326 - 32,895"
Irani Wadi,"Rs. 14,662 - 16,405/sq. ft.",5.22%  ,See Trends,"Rs. 17,654 - 19,296",-,-
Jankalyan Nagar,"Rs. 12,240 - 13,982/sq. ft.",2.3%  ,See Trends,"Rs. 16,830 - 19,168","Rs. 24,067 - 27,713","Rs. 31,117 - 33,062"
Jawahar Nagar,"Rs. 14,662 - 17,042/sq. ft.",-0.54%  ,See Trends,"Rs. 18,778 - 22,355","Rs. 30,067 - 33,922","Rs. 37,520 - 45,632"
Jay Prakash Nagar,"Rs. 16,702 - 18,998/sq. ft.",0.72%  ,See Trends,"Rs. 15,342 - 20,188","Rs. 31,238 - 33,469","Rs. 39,971 - 44,412"
J B Nagar,"Rs. 16,022 - 19,338/sq. ft.",-4.85%  ,See Trends,"Rs. 24,749 - 27,309","Rs. 36,125 - 43,350","Rs. 54,060 - 56,100"
Jeevan Nagar,-,-,Not Available,-,"Rs. 40,906 - 46,856",-
Jogeshwari (East),"Rs. 20,782 - 24,395/sq. ft.",-2.94%  ,See Trends,"Rs. 20,808 - 24,072","Rs. 31,790 - 37,570","Rs. 61,962 - 67,510"
Jogeshwari (West),"Rs. 14,960 - 17,298/sq. ft.",3.54%  ,See Trends,"Rs. 21,857 - 25,183","Rs. 33,808 - 37,833","Rs. 47,116 - 51,212"
Juhu Lane,-,-,Not Available,"Rs. 27,200 - 29,750","Rs. 46,367 - 60,195",-
JVLR,"Rs. 15,640 - 18,700/sq. ft.",1.3%  ,See Trends,"Rs. 21,372 - 23,886","Rs. 38,818 - 44,363","Rs. 50,167 - 54,026"
Kajupada,"Rs. 10,370 - 12,495/sq. ft.",6.2%  ,See Trends,-,-,-
Kanakiya,-,-,Not Available,-,"Rs. 28,458 - 32,727",-
Kanchpada,-,-,Not Available,"Rs. 18,597 - 22,889",-,"Rs. 58,943 - 68,112"
Kandarpada,"Rs. 13,728 - 15,172/sq. ft.",5.2%  ,See Trends,"Rs. 14,470 - 15,827","Rs. 19,921 - 21,206",-
Kandivali (East),"Rs. 14,492 - 16,745/sq. ft.",0.82%  ,See Trends,"Rs. 16,807 - 18,962","Rs. 24,854 - 29,240","Rs. 31,620 - 37,740"
Kandivali (West),"Rs. 13,260 - 16,150/sq. ft.",0.29%  ,See Trends,"Rs. 16,214 - 19,456","Rs. 24,347 - 28,774","Rs. 36,720 - 42,840"
Kanti Nagar,-,-,Not Available,"Rs. 25,024 - 27,761",-,-
Kasam Baug,"Rs. 14,450 - 16,320/sq. ft.",-,Not Available,-,"Rs. 31,858 - 37,433","Rs. 43,637 - 50,527"
Kastur Park,"Rs. 17,000 - 19,508/sq. ft.",-,Not Available,-,-,-
Ketkipada,"Rs. 8,118 - 10,030/sq. ft.",4.69%  ,See Trends,-,-,-
Kharodi,-,-,Not Available,-,"Rs. 21,243 - 22,571",-
Koldongri,"Rs. 21,632 - 25,118/sq. ft.",0.55%  ,See Trends,"Rs. 27,854 - 33,137",-,-
Kulupwadi,"Rs. 16,235 - 19,338/sq. ft.",4.58%  ,See Trends,"Rs. 18,017 - 18,896","Rs. 25,823 - 30,988",-
Kurar Village,"Rs. 10,710 - 11,942/sq. ft.",-4.78%  ,See Trends,"Rs. 16,218 - 19,372",-,-
Liberty Garden,"Rs. 15,768 - 18,148/sq. ft.",3.91%  ,See Trends,"Rs. 20,774 - 22,542","Rs. 25,160 - 32,708",-
LIC Colony,"Rs. 14,790 - 16,490/sq. ft.",-,Not Available,-,-,-
Link Road,"Rs. 16,872 - 22,482/sq. ft.",3.43%  ,See Trends,"Rs. 22,131 - 25,979",-,-
Lokhandwala Andheri West,"Rs. 21,038 - 24,905/sq. ft.",-2.19%  ,See Trends,"Rs. 31,059 - 36,975","Rs. 46,028 - 54,102","Rs. 67,830 - 80,920"
Lokhandwala Kandivali East,"Rs. 13,218 - 14,578/sq. ft.",3.14%  ,See Trends,"Rs. 16,085 - 18,202","Rs. 25,059 - 27,484","Rs. 29,631 - 31,748"
Madh,"Rs. 14,620 - 16,235/sq. ft.",-,Not Available,-,-,-
Mahakali Caves,"Rs. 15,682 - 17,765/sq. ft.",-0.25%  ,See Trends,"Rs. 23,328 - 25,873","Rs. 32,092 - 37,084",-
Maharashtra Nagar,"Rs. 15,385 - 15,980/sq. ft.",-,Not Available,"Rs. 18,829 - 19,795","Rs. 27,601 - 29,901",-
Mahavir Nagar,"Rs. 16,915 - 19,295/sq. ft.",-3.41%  ,See Trends,"Rs. 19,074 - 20,374","Rs. 31,086 - 34,119","Rs. 42,873 - 45,864"
Mahesh Nagar,"Rs. 20,740 - 22,950/sq. ft.",2.6%  ,See Trends,-,"Rs. 45,486 - 54,737","Rs. 58,426 - 65,729"
Malad (East),"Rs. 13,642 - 16,022/sq. ft.",-0.56%  ,See Trends,"Rs. 18,850 - 23,786","Rs. 34,989 - 39,256","Rs. 44,890 - 52,372"
Malad (West),"Rs. 14,280 - 17,000/sq. ft.",1.4%  ,See Trends,"Rs. 18,680 - 22,324","Rs. 31,916 - 37,235","Rs. 42,947 - 51,128"
Malvani,-,-,Not Available,"Rs. 14,657 - 18,729","Rs. 31,702 - 35,476",-
Mamletdar Wadi,-,-,Not Available,"Rs. 17,139 - 20,056",-,-
Marol,"Rs. 15,385 - 17,638/sq. ft.",2.65%  ,See Trends,"Rs. 26,670 - 30,695","Rs. 37,145 - 43,605","Rs. 53,040 - 60,775"
Marve Road,"Rs. 14,195 - 17,468/sq. ft.",3.45%  ,See Trends,"Rs. 16,277 - 20,450","Rs. 32,456 - 36,985",-
Milat Nagar,"Rs. 23,248 - 26,350/sq. ft.",-,Not Available,-,"Rs. 45,570 - 52,581","Rs. 69,062 - 73,312"
Mindspace,"Rs. 17,340 - 19,848/sq. ft.",-6.02%  ,See Trends,"Rs. 22,532 - 23,970","Rs. 39,658 - 43,789","Rs. 51,447 - 57,271"
Mitha Nagar,"Rs. 14,705 - 16,278/sq. ft.",-0.83%  ,See Trends,-,"Rs. 29,758 - 33,726",-
Motilal Nagar I,"Rs. 14,578 - 14,578/sq. ft.",0%     ,See Trends,-,-,-
Motilal Nagar II,"Rs. 14,280 - 15,640/sq. ft.",-4.4%  ,See Trends,"Rs. 24,619 - 26,040","Rs. 31,238 - 33,788","Rs. 33,466 - 35,435"
Mulji Nagar,-,-,Not Available,"Rs. 15,717 - 16,867",-,-
Natwar Nagar,"Rs. 16,320 - 18,615/sq. ft.",0.96%  ,See Trends,-,-,-
Navneeth Colony,-,-,Not Available,-,"Rs. 42,412 - 45,553",-
Navy Colony,"Rs. 15,002 - 17,042/sq. ft.",2.68%  ,See Trends,"Rs. 22,052 - 23,491",-,-
Nensey Colony,"Rs. 14,748 - 17,298/sq. ft.",-4.92%  ,See Trends,"Rs. 14,960 - 15,895","Rs. 22,950 - 26,775",-
Nl Complex,"Rs. 13,472 - 14,662/sq. ft.",0%     ,See Trends,"Rs. 13,544 - 15,292",-,-
Orlem,"Rs. 15,258 - 17,000/sq. ft.",7.37%  ,See Trends,"Rs. 17,251 - 19,775","Rs. 26,224 - 29,866",-
Oshiwara,"Rs. 16,235 - 20,782/sq. ft.",-5.02%  ,See Trends,"Rs. 20,358 - 23,208","Rs. 39,942 - 49,724","Rs. 64,090 - 87,508"
Pandurang Wadi,"Rs. 15,470 - 17,680/sq. ft.",-,Not Available,"Rs. 20,311 - 22,568","Rs. 28,050 - 31,238",-
Patel Nagar,"Rs. 15,342 - 17,850/sq. ft.",-,Not Available,-,-,-
Pimpripada,-,-,Not Available,-,"Rs. 28,036 - 30,250",-
Poonam Nagar,-,-,Not Available,"Rs. 21,025 - 23,498","Rs. 34,354 - 38,648",-
Pushpa Park,"Rs. 14,875 - 16,660/sq. ft.",-,Not Available,-,-,-
Raheja Estate,"Rs. 16,448 - 19,848/sq. ft.",-0.96%  ,See Trends,-,-,-
Rajan Pada,-,-,Not Available,-,"Rs. 35,620 - 38,718",-
Rajendra Nagar,"Rs. 16,490 - 18,870/sq. ft.",-4.16%  ,See Trends,-,"Rs. 25,585 - 28,509",-
Raje Shivaji Nagar,"Rs. 14,620 - 15,980/sq. ft.",-,Not Available,"Rs. 23,800 - 25,925","Rs. 33,861 - 38,277",-
Ratan Nagar,-,-,Not Available,"Rs. 26,648 - 30,388","Rs. 37,188 - 41,650",-
Rawalpada,"Rs. 11,092 - 12,962/sq. ft.",-2.77%  ,See Trends,"Rs. 13,597 - 15,351","Rs. 18,192 - 20,701",-
Safed Pul,-,-,Not Available,-,"Rs. 32,445 - 38,776",-
Saibaba Nagar,"Rs. 15,385 - 18,488/sq. ft.",4.27%  ,See Trends,"Rs. 14,858 - 16,422",-,-
Sai Wadi,"Rs. 20,910 - 22,228/sq. ft.",-,Not Available,-,-,-
Sakinaka,"Rs. 13,175 - 15,258/sq. ft.",-7.06%  ,See Trends,"Rs. 24,990 - 29,070","Rs. 36,567 - 42,255","Rs. 49,123 - 54,835"
Saki Vihar,-,-,Not Available,"Rs. 23,106 - 28,995",-,-
Samta Nagar,"Rs. 12,070 - 14,365/sq. ft.",1.67%  ,See Trends,-,"Rs. 20,936 - 20,936",-
Sankalp Colony,"Rs. 16,915 - 18,190/sq. ft.",0%     ,See Trends,"Rs. 24,786 - 28,917",-,-
Satya Nagar,"Rs. 14,960 - 17,680/sq. ft.",-,Not Available,"Rs. 16,484 - 18,494",-,-
Sector-8 Charkop,"Rs. 12,112 - 13,302/sq. ft.",1.69%  ,See Trends,"Rs. 16,362 - 17,298","Rs. 21,739 - 23,141",-
Sector-9 Charkop,"Rs. 11,390 - 12,325/sq. ft.",-2.46%  ,See Trends,"Rs. 15,020 - 16,958","Rs. 20,583 - 22,712",-
Sector 1 Charkop,"Rs. 13,048 - 14,705/sq. ft.",-,Not Available,"Rs. 14,492 - 17,298",-,-
Sector 2 Charkop,"Rs. 11,942 - 13,728/sq. ft.",5.21%  ,See Trends,"Rs. 15,286 - 18,153","Rs. 20,558 - 22,685",-
Sector 3 Charkop,"Rs. 13,132 - 15,130/sq. ft.",0%     ,See Trends,"Rs. 14,845 - 17,390","Rs. 20,135 - 23,011",-
Sector 5 Charkop,"Rs. 12,792 - 14,535/sq. ft.",-,Not Available,-,"Rs. 22,398 - 24,565",-
Sector 6 Charkop,"Rs. 12,792 - 13,728/sq. ft.",-,Not Available,-,-,-
Seven Bunglow,"Rs. 22,100 - 25,542/sq. ft.",3.15%  ,See Trends,"Rs. 33,079 - 36,434","Rs. 45,553 - 54,193","Rs. 59,670 - 71,825"
Shankar Pada,"Rs. 16,958 - 19,762/sq. ft.",-,Not Available,-,-,-
Shanti Nagar,"Rs. 13,048 - 15,428/sq. ft.",2.35%  ,See Trends,-,-,-
