locality name,Price Range,Q/Q,trends,one bedroom,two bedroom,three bedroom
Old Panvel,"Rs. 5,950 - 7,182/sq. ft.",2%  ,See Trends,"Rs. 7,561 - 8,065","Rs. 11,459 - 14,103","Rs. 18,771 - 25,395"
Owe Village,"Rs. 6,332 - 7,352/sq. ft.",9.59%  ,See Trends,"Rs. 7,969 - 9,562","Rs. 14,212 - 15,988",-
Palaspa,"Rs. 4,420 - 5,780/sq. ft.",13.89%  ,See Trends,-,-,-
Palaspe Phata,"Rs. 4,845 - 6,630/sq. ft.",4.07%  ,See Trends,-,"Rs. 9,690 - 10,498",-
Palm Beach,"Rs. 15,512 - 18,148/sq. ft.",0%     ,See Trends,"Rs. 15,762 - 16,592","Rs. 32,897 - 37,342","Rs. 44,798 - 55,998"
Panvel,"Rs. 5,950 - 7,012/sq. ft.",2.67%  ,See Trends,"Rs. 7,599 - 9,119","Rs. 10,818 - 13,314","Rs. 14,597 - 19,088"
Petali,"Rs. 4,802 - 5,398/sq. ft.",0%     ,See Trends,"Rs. 5,100 - 5,610","Rs. 8,160 - 9,792",-
Phase-1 Petali,"Rs. 4,802 - 5,228/sq. ft.",-0.83%  ,See Trends,"Rs. 5,100 - 5,610","Rs. 8,415 - 9,256",-
Rabale,-,-,Not Available,-,"Rs. 17,595 - 24,480",-
Ranjanpada,"Rs. 7,522 - 8,118/sq. ft.",0%     ,See Trends,"Rs. 7,701 - 8,728",-,-
Rasayani,"Rs. 3,060 - 3,528/sq. ft.",-9.52%  ,See Trends,-,-,-
Roadpali,"Rs. 6,162 - 6,672/sq. ft.",1.34%  ,See Trends,"Rs. 8,160 - 8,704","Rs. 11,691 - 13,490","Rs. 18,354 - 21,178"
Sai Nagar,"Rs. 5,482 - 5,908/sq. ft.",-,Not Available,-,-,-
Sanpada,"Rs. 12,580 - 14,705/sq. ft.",-2.14%  ,See Trends,"Rs. 15,895 - 18,700","Rs. 29,750 - 34,000","Rs. 40,720 - 50,301"
Savoli,-,-,Not Available,"Rs. 11,156 - 12,495",-,-
Seawoods,"Rs. 11,178 - 13,515/sq. ft.",1.76%  ,See Trends,"Rs. 12,852 - 15,708","Rs. 26,775 - 34,808","Rs. 40,842 - 48,748"
Sector-1 Airoli,-,-,Not Available,"Rs. 11,050 - 14,025",-,-
Sector-1 Khanda Colony,"Rs. 7,055 - 8,925/sq. ft.",-,Not Available,-,"Rs. 11,475 - 13,005",-
Sector-1 New Panvel,-,-,Not Available,"Rs. 6,712 - 9,588",-,-
Sector-1 Vashi,-,-,Not Available,"Rs. 13,311 - 18,635","Rs. 20,016 - 22,777",-
Sector-2 Airoli,-,-,Not Available,-,"Rs. 24,901 - 27,035",-
Sector-2 Ghansoli,-,-,Not Available,"Rs. 11,156 - 12,495",-,-
Sector-2 Kopar Khairane,"Rs. 9,392 - 10,242/sq. ft.",1.32%  ,See Trends,"Rs. 12,243 - 14,598","Rs. 20,188 - 25,032",-
Sector-2 Vashi,-,-,Not Available,"Rs. 12,325 - 16,575",-,-
Sector-2A Kopar Khairane,"Rs. 9,350 - 10,370/sq. ft.",-0.87%  ,See Trends,-,"Rs. 22,100 - 24,650",-
Sector-3 Airoli,-,-,Not Available,"Rs. 16,415 - 17,864",-,-
Sector-3 Belpada,"Rs. 9,478 - 10,412/sq. ft.",12.75%  ,See Trends,"Rs. 10,557 - 11,475",-,-
Sector-3 Ghansoli,"Rs. 9,860 - 10,838/sq. ft.",-,Not Available,"Rs. 13,426 - 15,912","Rs. 19,125 - 22,950",-
Sector-3 Kopar Khairane,"Rs. 8,542 - 11,135/sq. ft.",-,Not Available,-,"Rs. 18,279 - 20,664",-
Sector-3 New Panvel,"Rs. 7,012 - 8,372/sq. ft.",5.33%  ,See Trends,"Rs. 7,914 - 9,044","Rs. 11,305 - 12,920",-
Sector-3 Ulwe,"Rs. 6,290 - 6,970/sq. ft.",-4.94%  ,See Trends,-,"Rs. 7,375 - 9,013",-
Sector-4 Airoli,-,-,Not Available,"Rs. 14,322 - 15,803",-,-
Sector-4 Kopar Khairane,-,-,Not Available,"Rs. 12,389 - 14,371",-,-
Sector-4 Nerul,"Rs. 15,428 - 17,892/sq. ft.",-4.08%  ,See Trends,-,"Rs. 42,238 - 50,480","Rs. 59,670 - 68,850"
Sector-4 New Panvel,"Rs. 6,630 - 7,438/sq. ft.",-6.86%  ,See Trends,"Rs. 6,962 - 9,448","Rs. 11,475 - 13,005",-
Sector-4 Sanpada,"Rs. 11,050 - 12,665/sq. ft.",0%     ,See Trends,-,"Rs. 23,664 - 31,824",-
Sector-4 Vashi,"Rs. 14,535 - 15,342/sq. ft.",-,Not Available,-,-,-
Sector-4A Koparkhairane,"Rs. 9,308 - 10,838/sq. ft.",-,Not Available,"Rs. 11,220 - 13,090","Rs. 21,614 - 24,939",-
Sector-5 Airoli,-,-,Not Available,"Rs. 12,325 - 14,875","Rs. 17,680 - 22,440",-
Sector-5 Kamothe,"Rs. 6,290 - 6,672/sq. ft.",-5.7%  ,See Trends,-,-,-
Sector-5 Kharghar,"Rs. 8,628 - 9,775/sq. ft.",-2.27%  ,See Trends,"Rs. 13,380 - 14,371","Rs. 18,350 - 25,340","Rs. 29,622 - 31,992"
Sector-5 Kopar Khairane,"Rs. 8,882 - 10,752/sq. ft.",-2.1%  ,See Trends,"Rs. 13,039 - 14,544","Rs. 20,400 - 22,950","Rs. 23,205 - 25,415"
Sector-5 New Panvel East,"Rs. 7,565 - 8,798/sq. ft.",4.79%  ,See Trends,"Rs. 8,738 - 10,049","Rs. 12,282 - 15,172",-
Sector-6 Airoli,"Rs. 10,668 - 11,432/sq. ft.",1.17%  ,See Trends,"Rs. 15,680 - 18,056","Rs. 22,481 - 27,132",-
Sector-6 Ghansoli,"Rs. 8,968 - 10,072/sq. ft.",-4.22%  ,See Trends,"Rs. 12,967 - 14,408","Rs. 20,177 - 24,058","Rs. 35,848 - 45,625"
Sector-6 Kharghar,"Rs. 10,412 - 12,240/sq. ft.",5.08%  ,See Trends,"Rs. 12,559 - 13,061","Rs. 20,400 - 22,100","Rs. 27,683 - 31,143"
Sector-6 Kopar Khairane,"Rs. 9,265 - 9,988/sq. ft.",-,Not Available,"Rs. 12,622 - 15,895","Rs. 20,188 - 24,225",-
Sector-6 Nerul,-,-,Not Available,"Rs. 6,545 - 8,415",-,"Rs. 37,699 - 44,768"
Sector-6 New Panvel,"Rs. 6,078 - 6,715/sq. ft.",-,Not Available,-,-,-
Sector-6A Kamothe,"Rs. 6,630 - 7,268/sq. ft.",5.66%  ,See Trends,-,"Rs. 14,421 - 15,269",-
Sector-7 Ghansoli,"Rs. 9,478 - 10,752/sq. ft.",-,Not Available,"Rs. 14,612 - 17,047","Rs. 21,229 - 24,625",-
Sector-7 Kamothe,"Rs. 6,885 - 7,480/sq. ft.",2.42%  ,See Trends,-,-,-
Sector-7 Khanda Colony,"Rs. 6,630 - 7,310/sq. ft.",-3.03%  ,See Trends,-,-,-
Sector-7 Kopar Khairane,"Rs. 9,052 - 10,540/sq. ft.",0.9%  ,See Trends,"Rs. 14,050 - 15,988","Rs. 17,746 - 18,429",-
Sector-8 Ghansoli,"Rs. 11,178 - 12,198/sq. ft.",-2.46%  ,See Trends,"Rs. 17,748 - 19,227","Rs. 24,684 - 27,975","Rs. 34,510 - 38,080"
Sector-8 Kamothe,"Rs. 6,418 - 7,098/sq. ft.",-,Not Available,-,-,-
Sector-8 Kharghar,"Rs. 8,500 - 9,478/sq. ft.",-5.45%  ,See Trends,"Rs. 12,006 - 13,447","Rs. 17,279 - 18,102","Rs. 22,352 - 25,881"
Sector-8 Kopar Khairane,"Rs. 9,138 - 11,135/sq. ft.",-,Not Available,"Rs. 14,174 - 15,640","Rs. 21,682 - 25,554",-
Sector-8 Sanpada,"Rs. 11,178 - 13,218/sq. ft.",-3.52%  ,See Trends,"Rs. 14,446 - 16,197",-,-
Sector-8 Ulwe,"Rs. 6,800 - 7,862/sq. ft.",-0.58%  ,See Trends,"Rs. 4,888 - 5,376","Rs. 9,350 - 11,050","Rs. 15,658 - 20,476"
Sector-8A Airoli,"Rs. 10,072 - 11,602/sq. ft.",4.94%  ,See Trends,"Rs. 14,322 - 16,297","Rs. 22,185 - 25,245",-
Sector-9 Ghansoli,"Rs. 10,158 - 11,730/sq. ft.",-,Not Available,"Rs. 10,343 - 12,730","Rs. 25,288 - 33,380",-
Sector-9 Kamothe,"Rs. 6,120 - 6,715/sq. ft.",0%     ,See Trends,"Rs. 7,076 - 8,020","Rs. 9,841 - 11,247",-
Sector-9 Khanda Colony,"Rs. 6,630 - 7,268/sq. ft.",-1.23%  ,See Trends,"Rs. 7,442 - 7,880",-,-
Sector-9 New Panvel,"Rs. 6,418 - 6,928/sq. ft.",-,Not Available,-,"Rs. 10,952 - 11,682",-
Sector-9 Sanpada,"Rs. 15,300 - 16,320/sq. ft.",0%     ,See Trends,"Rs. 19,724 - 21,747","Rs. 29,070 - 30,600","Rs. 34,123 - 39,657"
Sector-9 Ulwe,"Rs. 7,182 - 7,990/sq. ft.",1.7%  ,See Trends,"Rs. 5,507 - 6,008","Rs. 8,526 - 10,231","Rs. 13,370 - 15,802"
Sector-9A Vashi,-,-,Not Available,"Rs. 16,320 - 19,380","Rs. 22,312 - 25,288",-
Sector-10 Kalamboli,"Rs. 5,950 - 6,758/sq. ft.",-,Not Available,-,-,-
Sector-10 Nerul,"Rs. 9,095 - 10,795/sq. ft.",-,Not Available,-,"Rs. 21,573 - 24,769",-
Sector-10 New Panvel,"Rs. 6,162 - 6,545/sq. ft.",9.42%  ,See Trends,"Rs. 7,670 - 8,150","Rs. 10,582 - 14,110",-
Sector-10 Vashi,-,-,Not Available,-,"Rs. 22,610 - 27,455",-
Sector-10/B Ulwe,"Rs. 6,502 - 8,245/sq. ft.",10.39%  ,See Trends,-,"Rs. 9,378 - 11,083",-
Sector-10A Airoli,"Rs. 13,685 - 14,535/sq. ft.",-0.29%  ,See Trends,-,"Rs. 30,098 - 34,658","Rs. 34,527 - 37,980"
Sector-10A Vashi,-,-,Not Available,-,"Rs. 18,788 - 26,617",-
Sector-11 Ghansoli,"Rs. 11,432 - 12,410/sq. ft.",-2.41%  ,See Trends,-,"Rs. 29,920 - 33,660","Rs. 38,250 - 40,800"
Sector-11 Khanda Colony,"Rs. 8,628 - 9,562/sq. ft.",-,Not Available,-,-,-
Sector-11 New Panvel,-,-,Not Available,-,"Rs. 9,945 - 11,475",-
Sector-11 Sanpada,"Rs. 13,048 - 14,238/sq. ft.",-,Not Available,-,"Rs. 31,620 - 37,740",-
Sector-11 Taloja,"Rs. 4,420 - 4,972/sq. ft.",0%     ,See Trends,"Rs. 5,015 - 7,021",-,-
Sector-12 Kamothe,"Rs. 6,290 - 6,800/sq. ft.",-,Not Available,"Rs. 7,948 - 9,350",-,-
Sector-12 Kopar Khairane,"Rs. 8,202 - 10,455/sq. ft.",-0.9%  ,See Trends,"Rs. 12,111 - 14,906","Rs. 19,890 - 22,950",-
Sector-12 New Panvel,"Rs. 6,842 - 7,735/sq. ft.",-,Not Available,-,"Rs. 10,412 - 12,644",-
Sector-13 Kharghar,"Rs. 7,480 - 8,798/sq. ft.",6.7%  ,See Trends,"Rs. 8,966 - 11,456","Rs. 13,600 - 16,150",-
Sector-13 Kopar Khairane,"Rs. 10,880 - 13,515/sq. ft.",-,Not Available,-,"Rs. 22,121 - 25,661",-
Sector-13 Nerul,"Rs. 13,812 - 14,620/sq. ft.",2.13%  ,See Trends,-,-,-
Sector-14 Airoli,-,-,Not Available,-,-,"Rs. 25,415 - 30,940"
Sector-14 Koparkhairane,"Rs. 10,412 - 12,198/sq. ft.",4.28%  ,See Trends,"Rs. 14,492 - 18,232","Rs. 24,157 - 29,155","Rs. 34,425 - 40,162"
Sector-14 Nerul,"Rs. 19,082 - 23,758/sq. ft.",5.6%  ,See Trends,-,"Rs. 34,808 - 36,592",-
Sector-14 Sanpada,"Rs. 12,622 - 13,515/sq. ft.",-4.97%  ,See Trends,"Rs. 18,476 - 19,448",-,"Rs. 51,404 - 63,941"
Sector-14 Taloja,"Rs. 4,930 - 5,695/sq. ft.",2.42%  ,See Trends,-,-,-
Sector-15 Ghansoli,"Rs. 9,690 - 10,412/sq. ft.",-3.69%  ,See Trends,"Rs. 12,856 - 14,913","Rs. 21,165 - 23,705","Rs. 33,475 - 38,092"
Sector-15 New Panvel,"Rs. 7,395 - 7,862/sq. ft.",-,Not Available,-,"Rs. 10,710 - 13,005",-
Sector-15 Sanpada,"Rs. 11,475 - 13,090/sq. ft.",-1.03%  ,See Trends,"Rs. 15,895 - 19,168","Rs. 21,760 - 27,200",-
Sector-15A New Panvel,-,-,Not Available,-,"Rs. 11,475 - 16,065",-
Sector-16 Airoli,-,-,Not Available,"Rs. 14,280 - 16,830","Rs. 13,812 - 16,575",-
Sector-16 Kharghar,"Rs. 7,905 - 8,925/sq. ft.",-1.5%  ,See Trends,-,-,-
Sector-16 Koparkhairane,"Rs. 8,882 - 9,902/sq. ft.",-5.42%  ,See Trends,"Rs. 13,558 - 18,232","Rs. 19,890 - 23,715",-
Sector-16 New Panvel,"Rs. 6,715 - 7,310/sq. ft.",-,Not Available,"Rs. 7,650 - 9,180","Rs. 11,008 - 11,794",-
Sector-16 Sanpada,"Rs. 14,195 - 14,918/sq. ft.",-0.29%  ,See Trends,"Rs. 17,765 - 21,972","Rs. 30,600 - 34,850","Rs. 38,102 - 40,560"
Sector-16 Taloja,"Rs. 4,802 - 5,525/sq. ft.",-1.64%  ,See Trends,"Rs. 4,802 - 5,283",-,-
Sector-16 Ulwe,"Rs. 6,248 - 7,310/sq. ft.",-3.75%  ,See Trends,"Rs. 5,176 - 5,694","Rs. 7,933 - 10,577","Rs. 12,894 - 15,473"
Sector-16A Sanpada,"Rs. 13,898 - 16,108/sq. ft.",2.94%  ,See Trends,-,"Rs. 28,768 - 32,878","Rs. 54,698 - 58,905"
Sector-17 Kalamboli,"Rs. 6,758 - 7,778/sq. ft.",-,Not Available,-,-,-
Sector-17 Kamothe,"Rs. 6,672 - 7,395/sq. ft.",2.48%  ,See Trends,"Rs. 8,242 - 9,272","Rs. 10,652 - 13,110",-
Sector-17 Khanda Colony,"Rs. 7,352 - 7,990/sq. ft.",-,Not Available,-,-,-
Sector-17 Kopar Khairane,"Rs. 8,670 - 10,030/sq. ft.",-4.24%  ,See Trends,"Rs. 14,889 - 16,942","Rs. 20,222 - 27,999",-
Sector-17 Sanpada,"Rs. 13,472 - 15,130/sq. ft.",-1.73%  ,See Trends,-,"Rs. 34,808 - 39,270","Rs. 43,350 - 53,550"
Sector-18 Kopar Khairane,"Rs. 8,075 - 9,520/sq. ft.",-,Not Available,-,-,-
Sector-18 Sanpada,"Rs. 17,552 - 20,102/sq. ft.",5.12%  ,See Trends,-,"Rs. 36,001 - 39,693","Rs. 47,491 - 55,406"
Sector-18 Ulwe,"Rs. 6,885 - 7,480/sq. ft.",0%     ,See Trends,"Rs. 5,865 - 6,842","Rs. 9,088 - 9,914","Rs. 12,248 - 13,362"
Sector-18A Nerul,"Rs. 13,728 - 16,958/sq. ft.",-,Not Available,-,"Rs. 33,558 - 41,228","Rs. 45,135 - 55,165"
Sector-19 Airoli,"Rs. 10,625 - 12,240/sq. ft.",-8.22%  ,See Trends,"Rs. 14,545 - 16,891","Rs. 24,225 - 27,455","Rs. 31,884 - 34,969"
Sector-19 Belapur,"Rs. 7,352 - 8,500/sq. ft.",-,Not Available,"Rs. 9,724 - 11,934",-,-
Sector-19 Koper Khairane,"Rs. 7,735 - 8,500/sq. ft.",-10.63%  ,See Trends,"Rs. 11,475 - 12,750","Rs. 15,652 - 19,209",-
Sector-19 New Panvel,-,-,Not Available,-,"Rs. 11,475 - 13,005",-
Sector-19 Taloja,"Rs. 5,568 - 6,332/sq. ft.",14.88%  ,See Trends,"Rs. 4,208 - 4,675",-,-
Sector-19A Kopar Khairane,"Rs. 6,928 - 8,712/sq. ft.",-6.09%  ,See Trends,"Rs. 10,016 - 11,686","Rs. 18,232 - 23,141",-
Sector-20 Koparkhairane,"Rs. 10,285 - 11,305/sq. ft.",4.47%  ,See Trends,"Rs. 14,124 - 16,560","Rs. 22,100 - 26,350","Rs. 34,510 - 36,890"
Sector-20 Nerul,"Rs. 8,840 - 10,285/sq. ft.",0%     ,See Trends,"Rs. 10,752 - 13,558","Rs. 19,380 - 22,610","Rs. 25,936 - 37,052"
Sector-20 Roadpali,"Rs. 6,375 - 7,098/sq. ft.",-1.27%  ,See Trends,-,"Rs. 11,680 - 14,375",-
Sector-20 Taloja,"Rs. 4,292 - 4,760/sq. ft.",-2.75%  ,See Trends,-,-,-
Sector-20B Airoli,"Rs. 9,775 - 10,965/sq. ft.",-3.47%  ,See Trends,"Rs. 14,025 - 17,765","Rs. 24,822 - 29,626","Rs. 29,580 - 34,510"
Sector-22 Kopar Khairane,"Rs. 9,350 - 11,135/sq. ft.",-,Not Available,"Rs. 12,577 - 13,042",-,"Rs. 21,505 - 25,245"
Sector-23 Juinagar,"Rs. 8,500 - 9,690/sq. ft.",-,Not Available,-,-,-
Sector-23 Kharghar,"Rs. 10,115 - 11,178/sq. ft.",4.18%  ,See Trends,-,-,-
Sector-23 Taloja,"Rs. 5,100 - 5,992/sq. ft.",-1.55%  ,See Trends,"Rs. 4,974 - 4,974","Rs. 7,574 - 8,415",-
Sector-24 Kamothe,"Rs. 6,545 - 7,225/sq. ft.",6.45%  ,See Trends,"Rs. 7,962 - 9,835",-,-
Sector-24 Taloja,"Rs. 5,950 - 6,248/sq. ft.",-,Not Available,-,"Rs. 7,137 - 7,930",-
Sector-25 Kamothe,"Rs. 6,842 - 7,862/sq. ft.",-0.58%  ,See Trends,"Rs. 8,622 - 10,778","Rs. 11,658 - 13,451",-
Sector-25 Khandeshhwar,"Rs. 8,032 - 8,458/sq. ft.",1.58%  ,See Trends,"Rs. 11,299 - 11,837","Rs. 14,609 - 14,609",-
Sector-26 Taloja,"Rs. 4,335 - 4,802/sq. ft.",0%     ,See Trends,"Rs. 4,208 - 4,675",-,-
Sector-27 Kharghar,"Rs. 8,075 - 9,988/sq. ft.",2.55%  ,See Trends,"Rs. 7,650 - 8,670",-,"Rs. 18,210 - 25,039"
Sector-27 Nerul,"Rs. 11,900 - 13,005/sq. ft.",1.74%  ,See Trends,"Rs. 15,428 - 16,830","Rs. 20,698 - 25,665","Rs. 36,890 - 40,460"
Sector-28 Nerul,"Rs. 13,685 - 16,150/sq. ft.",0.28%  ,See Trends,"Rs. 11,751 - 12,691","Rs. 26,877 - 34,940","Rs. 48,868 - 52,941"
Sector-29 Belapur,-,-,Not Available,"Rs. 9,605 - 10,566",-,-
Sector-29C Airoli,"Rs. 8,755 - 11,135/sq. ft.",-,Not Available,"Rs. 12,708 - 16,129","Rs. 23,434 - 25,778",-
Sector-30 Belapur,"Rs. 10,668 - 11,475/sq. ft.",2.36%  ,See Trends,-,"Rs. 23,845 - 29,144","Rs. 33,575 - 42,976"
Sector-30 Ghansoli,"Rs. 7,225 - 12,070/sq. ft.",-,Not Available,"Rs. 15,994 - 18,493","Rs. 25,612 - 27,265",-
Sector-30 Vashi,-,-,Not Available,"Rs. 16,690 - 18,713","Rs. 24,514 - 27,140",-
Sector-31 Kamothe,"Rs. 6,248 - 7,225/sq. ft.",-,Not Available,-,"Rs. 12,186 - 13,926",-
Sector-34 Kharghar,"Rs. 6,332 - 7,055/sq. ft.",-2.47%  ,See Trends,-,"Rs. 11,888 - 13,586",-
Sector-34A Kharghar,"Rs. 9,308 - 10,668/sq. ft.",-1.66%  ,See Trends,-,"Rs. 22,460 - 24,332","Rs. 29,284 - 33,278"
Sector-34B Kharghar,"Rs. 6,970 - 8,712/sq. ft.",0.53%  ,See Trends,"Rs. 7,650 - 8,160","Rs. 14,214 - 17,372",-
Sector-35 Kamothe,"Rs. 6,800 - 7,268/sq. ft.",-0.6%  ,See Trends,"Rs. 8,670 - 9,180","Rs. 11,591 - 14,074",-
Sector-35D Kharghar,"Rs. 7,480 - 8,500/sq. ft.",-3.61%  ,See Trends,"Rs. 9,364 - 10,404","Rs. 15,722 - 19,421","Rs. 23,378 - 24,677"
Sector-35E Kharghar,"Rs. 7,522 - 8,798/sq. ft.",6.59%  ,See Trends,"Rs. 9,180 - 10,710","Rs. 17,523 - 19,367","Rs. 20,374 - 23,970"
Sector-35G Kharghar,"Rs. 8,288 - 9,052/sq. ft.",1.5%  ,See Trends,"Rs. 11,847 - 13,393","Rs. 16,405 - 18,046","Rs. 22,287 - 24,633"
Sector-37 Taloja,"Rs. 7,438 - 8,288/sq. ft.",-,Not Available,-,"Rs. 13,207 - 14,761",-
Sector-38 Seawoods,"Rs. 11,348 - 12,325/sq. ft.",6.51%  ,See Trends,"Rs. 14,913 - 16,970","Rs. 28,900 - 32,300","Rs. 33,810 - 36,979"
Sector-42A Seawoods,"Rs. 9,988 - 12,368/sq. ft.",-8.36%  ,See Trends,"Rs. 13,558 - 15,895","Rs. 23,205 - 27,349",-
Sector-44A Seawoods,"Rs. 9,818 - 12,580/sq. ft.",11.69%  ,See Trends,"Rs. 12,376 - 14,280","Rs. 20,796 - 24,795",-
Sector-46 Seawoods,"Rs. 13,388 - 15,938/sq. ft.",-3.75%  ,See Trends,"Rs. 11,688 - 14,960","Rs. 31,238 - 37,485","Rs. 39,525 - 44,625"
Sector-48 Seawoods,"Rs. 10,582 - 13,048/sq. ft.",5.77%  ,See Trends,"Rs. 11,581 - 14,361","Rs. 19,444 - 24,888",-
Sector-50 Seawoods,"Rs. 10,625 - 12,452/sq. ft.",0.37%  ,See Trends,"Rs. 13,852 - 16,820","Rs. 23,800 - 28,900","Rs. 34,510 - 40,672"
Sector-58 Seawoods,"Rs. 15,512 - 17,722/sq. ft.",4.17%  ,See Trends,-,"Rs. 37,740 - 43,401","Rs. 50,320 - 61,200"
Sector-58A Seawoods,-,-,Not Available,-,"Rs. 32,130 - 38,378","Rs. 50,646 - 56,977"
Sector 1 Ghansoli,-,-,Not Available,"Rs. 10,285 - 12,155",-,-
Sector 1 Kopar Khairane,"Rs. 9,775 - 11,348/sq. ft.",6.09%  ,See Trends,"Rs. 13,637 - 17,534","Rs. 21,459 - 26,411",-
Sector 1 Sanpada,"Rs. 10,668 - 12,155/sq. ft.",4.21%  ,See Trends,"Rs. 15,428 - 18,232",-,-
Sector 2 Kharghar,"Rs. 9,775 - 10,922/sq. ft.",3.91%  ,See Trends,-,"Rs. 19,768 - 22,239","Rs. 25,298 - 28,597"
Sector 2 Ulwe,"Rs. 6,035 - 7,012/sq. ft.",0%     ,See Trends,"Rs. 5,423 - 6,409","Rs. 9,023 - 9,843","Rs. 13,941 - 16,476"
Sector 3 Kharghar,"Rs. 7,862 - 9,052/sq. ft.",6.6%  ,See Trends,"Rs. 12,375 - 13,451",-,-
Sector 4 Kharghar,"Rs. 9,265 - 10,158/sq. ft.",6.51%  ,See Trends,"Rs. 12,495 - 13,388","Rs. 16,958 - 23,418",-
Sector 5 Ghansoli,"Rs. 9,562 - 10,752/sq. ft.",0.86%  ,See Trends,"Rs. 12,442 - 14,835","Rs. 19,747 - 23,038","Rs. 27,418 - 30,845"
Sector 5 Ulwe,"Rs. 6,715 - 7,522/sq. ft.",3.05%  ,See Trends,"Rs. 5,957 - 6,950","Rs. 9,135 - 9,965",-
Sector 6 Kamothe,"Rs. 6,715 - 7,905/sq. ft.",4.32%  ,See Trends,"Rs. 7,997 - 10,496",-,-
Sector 7 Airoli,"Rs. 11,135 - 13,005/sq. ft.",1.03%  ,See Trends,"Rs. 16,357 - 19,244","Rs. 21,420 - 24,480","Rs. 32,144 - 38,794"
Sector 7 Kharghar,"Rs. 9,988 - 10,710/sq. ft.",-1.61%  ,See Trends,-,"Rs. 21,644 - 27,056","Rs. 27,370 - 32,130"
Sector 8 Airoli,"Rs. 10,710 - 12,155/sq. ft.",1.14%  ,See Trends,"Rs. 14,458 - 17,832","Rs. 22,134 - 26,561","Rs. 26,520 - 34,680"
Sector 8 New Panvel,-,-,Not Available,"Rs. 7,650 - 7,650",-,-
Sector 9 Airoli,"Rs. 8,542 - 9,732/sq. ft.",-0.9%  ,See Trends,"Rs. 12,155 - 13,558","Rs. 17,340 - 21,675",-
Sector 10 Kamothe,"Rs. 6,545 - 7,395/sq. ft.",-5.26%  ,See Trends,"Rs. 8,109 - 8,560","Rs. 10,972 - 11,756",-
Sector 10 Kharghar,"Rs. 8,075 - 9,095/sq. ft.",-0.99%  ,See Trends,"Rs. 10,996 - 12,995","Rs. 18,564 - 21,216","Rs. 25,686 - 29,356"
